/data/data/com.termux/files/home/vpn_v2/smart_proxy_v2.py:125: RuntimeWarning: coroutine 'StreamReader.read' was never awaited
  nmethods = await reader.read(1)[0]
RuntimeWarning: Enable tracemalloc to get the object allocation traceback
ERROR:root:SOCKS5 error: 'coroutine' object is not subscriptable
ERROR:root:SOCKS5 error: 'coroutine' object is not subscriptable
ERROR:root:SOCKS5 error: 'coroutine' object is not subscriptable
ERROR:root:SOCKS5 error: 'coroutine' object is not subscriptable
ERROR:root:SOCKS5 error: 'coroutine' object is not subscriptable
ERROR:root:SOCKS5 error: 'coroutine' object is not subscriptable
ERROR:root:SOCKS5 error: 'coroutine' object is not subscriptable
ERROR:root:SOCKS5 error: 'coroutine' object is not subscriptable
ERROR:root:SOCKS5 error: 'coroutine' object is not subscriptable
ERROR:root:SOCKS5 error: 'coroutine' object is not subscriptable
ERROR:root:SOCKS5 error: 'coroutine' object is not subscriptable
ERROR:root:SOCKS5 error: 'coroutine' object is not subscriptable
ERROR:root:SOCKS5 error: 'coroutine' object is not subscriptable
ERROR:root:SOCKS5 error: 'coroutine' object is not subscriptable
ERROR:root:SOCKS5 error: 'coroutine' object is not subscriptable
ERROR:root:SOCKS5 error: 'coroutine' object is not subscriptable
ERROR:root:SOCKS5 error: 'coroutine' object is not subscriptable
ERROR:root:SOCKS5 error: 'coroutine' object is not subscriptable
ERROR:root:SOCKS5 error: 'coroutine' object is not subscriptable
ERROR:root:SOCKS5 error: 'coroutine' object is not subscriptable
ERROR:root:SOCKS5 error: 'coroutine' object is not subscriptable
ERROR:root:SOCKS5 error: 'coroutine' object is not subscriptable
ERROR:root:SOCKS5 error: 'coroutine' object is not subscriptable
ERROR:root:SOCKS5 error: 'coroutine' object is not subscriptable
ERROR:root:SOCKS5 error: 'coroutine' object is not subscriptable
ERROR:root:SOCKS5 error: 'coroutine' object is not subscriptable
ERROR:root:SOCKS5 error: 'coroutine' object is not subscriptable
ERROR:root:SOCKS5 error: 'coroutine' object is not subscriptable
ERROR:root:SOCKS5 error: 'coroutine' object is not subscriptable
ERROR:root:SOCKS5 error: 'coroutine' object is not subscriptable
ERROR:root:SOCKS5 error: 'coroutine' object is not subscriptable
ERROR:root:SOCKS5 error: 'coroutine' object is not subscriptable
ERROR:root:SOCKS5 error: 'coroutine' object is not subscriptable
ERROR:root:SOCKS5 error: 'coroutine' object is not subscriptable
ERROR:root:SOCKS5 error: 'coroutine' object is not subscriptable
ERROR:root:SOCKS5 error: 'coroutine' object is not subscriptable
ERROR:root:SOCKS5 error: 'coroutine' object is not subscriptable
ERROR:root:SOCKS5 error: 'coroutine' object is not subscriptable
ERROR:root:SOCKS5 error: 'coroutine' object is not subscriptable
ERROR:root:SOCKS5 error: 'coroutine' object is not subscriptable
ERROR:root:SOCKS5 error: 'coroutine' object is not subscriptable
ERROR:root:SOCKS5 error: 'coroutine' object is not subscriptable
ERROR:root:SOCKS5 error: 'coroutine' object is not subscriptable
ERROR:root:SOCKS5 error: 'coroutine' object is not subscriptable
ERROR:root:SOCKS5 error: 'coroutine' object is not subscriptable
ERROR:root:SOCKS5 error: 'coroutine' object is not subscriptable
ERROR:root:SOCKS5 error: 'coroutine' object is not subscriptable
ERROR:root:SOCKS5 error: 'coroutine' object is not subscriptable
ERROR:root:SOCKS5 error: 'coroutine' object is not subscriptable
ERROR:root:SOCKS5 error: 'coroutine' object is not subscriptable
ERROR:root:SOCKS5 error: 'coroutine' object is not subscriptable
ERROR:root:SOCKS5 error: 'coroutine' object is not subscriptable
ERROR:root:SOCKS5 error: 'coroutine' object is not subscriptable
ERROR:root:SOCKS5 error: 'coroutine' object is not subscriptable
ERROR:root:SOCKS5 error: 'coroutine' object is not subscriptable
ERROR:root:SOCKS5 error: 'coroutine' object is not subscriptable
ERROR:root:SOCKS5 error: 'coroutine' object is not subscriptable
ERROR:root:SOCKS5 error: 'coroutine' object is not subscriptable
ERROR:root:SOCKS5 error: 'coroutine' object is not subscriptable
ERROR:root:SOCKS5 error: 'coroutine' object is not subscriptable
ERROR:root:SOCKS5 error: 'coroutine' object is not subscriptable
ERROR:root:SOCKS5 error: 'coroutine' object is not subscriptable
ERROR:root:SOCKS5 error: 'coroutine' object is not subscriptable
ERROR:root:SOCKS5 error: 'coroutine' object is not subscriptable
ERROR:root:SOCKS5 error: 'coroutine' object is not subscriptable
ERROR:root:SOCKS5 error: 'coroutine' object is not subscriptable
ERROR:root:SOCKS5 error: 'coroutine' object is not subscriptable
ERROR:root:SOCKS5 error: 'coroutine' object is not subscriptable
ERROR:root:SOCKS5 error: 'coroutine' object is not subscriptable
